TW,AB,BC,TB,NO,SB
Edler von,Noble,Noble,Nobile,-,-
Ritter (Dame),Knight (Dame),Chevalier,Fidalgo,Hetmann,Rytíř
Erbritter,Baronet(ess),Chev. Du Sang,Cavaliere,Ridder,Baronet
,,,,,
Freiherr(in),Baron(ess),Baron(esse),Barón(esa),Baron(ess),Baro(ka)
Graf (Gräfin),Viscount(ess),Vicomte(sse),Vizconde(sa),Vikomt(inn)e,Vikomt(esa)
"Land-, Pfalzgraf",Earl (Countess),Comte(sse),Conde(sa),"Jarl, Grev(inn)e",Hrabě(nka)
,,,,,
Markgraf,Margrav(in)e,Marqui(e),Marqués(a),Marki(se),Markýz (Markrabe)
Herzog,Duke (Duchess),Duc(hesse),Duque(ssa),Hertug(inne),Vévoda (Vévodkyne)
Erzherzog,Archduke,Archiduc,Archiduque,Erkehertug,Arcivévoda
Grossherzog,Grand Duke,Grand Duc,Grão-Duque,Storhertug,Velkovévoda
